system,label,timestep,native_micro,native_macro,sigma_mean,sigma_std,trace_min,trace_p25,trace_p50,trace_p75,trace_max
point_euclid,A. Point + Euclid,0,100.0,100.0,0.4499998390674591,1.7881568226130184e-07,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973
point_euclid,A. Point + Euclid,25,100.0,100.0,0.4499998390674591,1.7881568226130184e-07,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973
point_euclid,A. Point + Euclid,50,99.94669556617737,99.7735857963562,0.4499998390674591,1.7881568226130184e-07,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973
point_euclid,A. Point + Euclid,75,94.98267769813538,82.79953002929688,0.4499998390674591,1.7881568226130184e-07,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973
point_euclid,A. Point + Euclid,99,73.83728623390198,31.51593506336212,0.4499998390674591,1.7881568226130184e-07,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973
point_linear,B. Point + Linear,0,100.0,100.0,0.4499998390674591,1.7881568226130184e-07,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973
point_linear,B. Point + Linear,25,100.0,100.0,0.4499998390674591,1.7881568226130184e-07,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973
point_linear,B. Point + Linear,50,99.80676770210266,98.87561798095703,0.4499998390674591,1.7881568226130184e-07,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973
point_linear,B. Point + Linear,75,93.32355856895447,69.49918866157532,0.4499998390674591,1.7881568226130184e-07,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973
point_linear,B. Point + Linear,99,74.72348213195801,19.530518352985382,0.4499998390674591,1.7881568226130184e-07,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973
region_region,C. Region + Region (learn s),0,100.0,100.0,0.4421651065349579,0.024434056133031845,5.1723175048828125,12.097246170043945,12.629809379577637,13.01730728149414,14.449077606201172
region_region,C. Region + Region (learn s),25,100.0,100.0,0.4421651065349579,0.024434056133031845,5.1723175048828125,12.097246170043945,12.629809379577637,13.01730728149414,14.449077606201172
region_region,C. Region + Region (learn s),50,99.94669556617737,99.63663220405579,0.4421651065349579,0.024434056133031845,5.1723175048828125,12.097246170043945,12.629809379577637,13.01730728149414,14.449077606201172
region_region,C. Region + Region (learn s),75,93.28358173370361,77.61578559875488,0.4421651065349579,0.024434056133031845,5.1723175048828125,12.097246170043945,12.629809379577637,13.01730728149414,14.449077606201172
region_region,C. Region + Region (learn s),99,71.09208703041077,24.597300589084625,0.4421651065349579,0.024434056133031845,5.1723175048828125,12.097246170043945,12.629809379577637,13.01730728149414,14.449077606201172
region_linear,D. Region + Linear (learn s),0,100.0,100.0,0.4101976752281189,0.01998276263475418,5.117060661315918,10.719342231750488,11.063865661621094,11.27304744720459,12.035733222961426
region_linear,D. Region + Linear (learn s),25,100.0,100.0,0.4101976752281189,0.01998276263475418,5.117060661315918,10.719342231750488,11.063865661621094,11.27304744720459,12.035733222961426
region_linear,D. Region + Linear (learn s),50,99.88672733306885,99.43676590919495,0.4101976752281189,0.01998276263475418,5.117060661315918,10.719342231750488,11.063865661621094,11.27304744720459,12.035733222961426
region_linear,D. Region + Linear (learn s),75,94.23640966415405,72.83977270126343,0.4101976752281189,0.01998276263475418,5.117060661315918,10.719342231750488,11.063865661621094,11.27304744720459,12.035733222961426
region_linear,D. Region + Linear (learn s),99,76.13272666931152,23.43839854001999,0.4101976752281189,0.01998276263475418,5.117060661315918,10.719342231750488,11.063865661621094,11.27304744720459,12.035733222961426
region_frozen,E. RegionFrozen + Region (freeze s),0,100.0,100.0,0.4499998390674591,1.7881568226130184e-07,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973
region_frozen,E. RegionFrozen + Region (freeze s),25,100.0,100.0,0.4499998390674591,1.7881568226130184e-07,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973
region_frozen,E. RegionFrozen + Region (freeze s),50,99.95002746582031,99.8042345046997,0.4499998390674591,1.7881568226130184e-07,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973
region_frozen,E. RegionFrozen + Region (freeze s),75,93.17697286605835,76.72111392021179,0.4499998390674591,1.7881568226130184e-07,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973
region_frozen,E. RegionFrozen + Region (freeze s),99,69.64951753616333,23.356996476650238,0.4499998390674591,1.7881568226130184e-07,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973,12.960000038146973
