model,backend,n_prompts,n_rows,mean_service_time_s_weighted,service_rate_mu_rps,service_time_p50_s,service_time_p90_s,service_rate_p50_rps,ttft_p50_s,e2e_toks_per_s_p50,decode_toks_per_s_p50
claude-3-haiku-20240307,anthropic,6,6,2.6175218358257553,0.38204074797508913,2.3270963884860976,3.518742478758213,0.42972867756896227,0.5832570662605576,109.79742485038301,146.8170039662084
claude-3-5-haiku-20241022,anthropic,6,6,5.8764487690010965,0.17017080201143048,5.709346610747161,7.454646254496765,0.17519380033093107,2.118225833735778,38.72668129560512,45.3965042100956
meta-llama/Llama-3.2-1B-Instruct,hf,6,6,1.414830623922171,0.7067983849740372,1.40591401225538,1.4380949187616352,0.7112827709752421,0.0061299005028558895,182.08838936966197,182.1713975862069
google/gemma-1.1-2b-it,hf,6,6,1.678551132082551,0.5957518844000399,1.6776983532472514,1.6867897367483238,0.5960553756336294,0.008151690242812037,152.59017616220913,152.7129720021691
meta-llama/Llama-3.2-3B-Instruct,hf,6,6,2.500165276156622,0.39997355756306224,2.4670275117387064,2.5848166687355842,0.4053462298217051,0.010453442737343721,103.7686348343565,103.80549107797427
meta-llama/Llama-3.1-8B-Instruct,hf,6,6,2.821390762081137,0.35443512945451483,2.80526237799495,2.869763464987045,0.356474241877333,0.011966681500780396,91.25740592059725,91.29121227087636
allenai/Llama-3.1-Tulu-3-8B,hf,6,6,3.4153504717493584,0.29279571987462694,3.4093698060169118,4.008327988747624,0.30089972896722383,0.01513349024753552,77.0303306156093,77.06286358377824
ministral-8b-2410,mistral,6,6,2.7701682551705744,0.36098890315903376,2.8353138052480062,2.9909431370178936,0.3527923283682437,,71.10473459543925,
mistral-7b-instruct-v0.2,mistral,6,6,3.0317917468297915,0.3298379583774694,3.2960418552393094,3.4722029907570686,0.3034126532404461,,76.17507676989266,
mixtral-8x7b-instruct-v0.1,mistral,6,6,3.625056804579799,0.2758577462114875,3.4241121070081135,4.70803690473258,0.2941151345402392,,55.02358655830636,
mistral-medium,mistral,6,6,3.8858557792506567,0.2573435703248973,3.843665496009635,4.474548245489132,0.2605396469705309,,61.72336726831767,
gpt-4o-mini-2024-07-18,openai,6,6,4.959405643579278,0.20163706537993228,5.367762182257138,6.275293949991465,0.18783113167126364,0.9232639677647967,41.214468874023666,54.37094872107271
